Date,Time,State/UnionTerritory,Confirmed,Cured,Deaths
03-02-2020,6:00 PM,Kerala,5.4786515212389055e-05,0.0,0.0
09-03-2020,6:00 PM,Uttar Pradesh,0.0001278352021622,0.0,0.0
05-05-2020,5:00 PM,Meghalaya,0.0002191460608495,0.0005898313082458,0.0005580357142857
04-05-2020,5:00 PM,Puducherry,0.0001460973738997,0.0002949156541229,0.0
22-05-2020,8:44 PM,Jammu and Kashmir,0.0286533474560794,0.0456529432582281,0.01171875
27-03-2020,10:00 AM,Mizoram,1.826217173746302e-05,0.0,0.0
12-05-2020,5:04 PM,Goa,0.0001278352021622,0.000412881915772,0.0
21-04-2020,5:00 PM,Uttarakhand,0.0008400598999232,0.0010616963548425,0.0
02-05-2020,5:00 PM,Kerala,0.0090762993535191,0.0231213872832369,0.0022321428571428
29-04-2020,5:00 PM,Gujarat,0.0689214361371854,0.0255986787778695,0.1010044642857142
20-05-2020,8:45 AM,Nagaland,0.0,0.0,0.0
13-05-2020,9:23 PM,Puducherry,0.000237408232587,0.0005308481774212,0.0
16-05-2020,8:29 PM,Chandigarh,0.0034880748018554,0.0030081396720537,0.0016741071428571
24-03-2020,6:00 PM,Bihar,5.4786515212389055e-05,0.0,0.0005580357142857
20-03-2020,6:00 PM,Karnataka,0.0002739325760619,5.898313082458417e-05,0.0005580357142857
23-03-2020,6:00 PM,Rajasthan,0.0005113408086489,0.0001769493924737,0.0
05-04-2020,6:00 PM,Uttar Pradesh,0.0041455129844041,0.001120679485667,0.0011160714285714
17-03-2020,6:00 PM,Maharashtra,0.000712224697761,0.0,0.0005580357142857
31-03-2020,8:30 PM,West Bengal,0.000474816465174,0.0,0.0011160714285714
07-04-2020,6:00 PM,Tripura,1.826217173746302e-05,0.0,0.0
26-05-2020,06:18 PM,Uttarakhand,0.0073048686949852,0.0037749203727733,0.0022321428571428
19-03-2020,6:00 PM,West Bengal,1.826217173746302e-05,0.0,0.0
15-05-2020,7:19 AM,Daman and Diu,0.0,0.0,0.0
15-04-2020,5:00 PM,Nagaland,0.0,0.0,0.0
16-05-2020,7:39 PM,Karnataka,0.02094671098287,0.0300224135897133,0.0206473214285714
17-04-2020,5:00 PM,Tamil Nadu,0.0231381715913656,0.0106169635484251,0.0083705357142857
17-04-2020,5:00 PM,Jharkhand,0.0005296029803864,0.0,0.0011160714285714
12-05-2020,10:04 AM,Manipur,3.652434347492604e-05,0.0001179662616491,0.0
23-03-2020,6:00 PM,Puducherry,1.826217173746302e-05,0.0,0.0
17-03-2020,6:00 PM,Delhi,0.0001460973738997,0.0001179662616491,0.0005580357142857
24-05-2020,9:33 AM,State Unassigned,0.0482486577303772,0.0,0.0
18-04-2020,5:00 PM,West Bengal,0.0052412432886518,0.0032440721953521,0.0055803571428571
08-03-2020,6:00 PM,Tamil Nadu,1.826217173746302e-05,0.0,0.0
03-04-2020,6:00 PM,Arunachal Pradesh,1.826217173746302e-05,0.0,0.0
02-05-2020,5:00 PM,Delhi,0.0682639979546367,0.0688333136722897,0.0340401785714285
19-04-2020,5:00 PM,West Bengal,0.0056612732386135,0.0036569541111242,0.0066964285714285
13-04-2020,5:00 PM,Kerala,0.006866576573286,0.0105579804176005,0.0016741071428571
04-04-2020,6:00 PM,Haryana,0.0008948464151356,0.00141559513979,0.0
02-05-2020,5:00 PM,Haryana,0.0065743818254866,0.0133891706971806,0.0022321428571428
19-05-2020,1:14 PM,Bihar,0.0288359691734541,0.0323227556918721,0.0050223214285714
24-04-2020,5:00 PM,Mizoram,1.826217173746302e-05,0.0,0.0
07-04-2020,6:00 PM,Arunachal Pradesh,1.826217173746302e-05,0.0,0.0
27-03-2020,10:00 AM,Uttar Pradesh,0.0007487490412359,0.0006488144390704,0.0
19-03-2020,6:00 PM,Uttarakhand,1.826217173746302e-05,0.0,0.0
30-04-2020,5:00 PM,Telangana,0.0184813177983125,0.0216468090126223,0.0145089285714285
09-04-2020,5:00 PM,Manipur,3.652434347492604e-05,5.898313082458417e-05,0.0
31-03-2020,8:30 PM,Nagaland,0.0,0.0,0.0
28-02-2020,6:00 PM,Kerala,5.4786515212389055e-05,0.0,0.0
15-05-2020,7:33 PM,Ladakh,0.0007852733847109,0.00141559513979,0.0
18-04-2020,5:00 PM,Goa,0.0001278352021622,0.0003538987849475,0.0
22-03-2020,6:00 PM,Uttar Pradesh,0.0004930786369115,0.0005308481774212,0.0
14-04-2020,5:00 PM,Puducherry,0.0001278352021622,5.898313082458417e-05,0.0
21-03-2020,6:00 PM,Karnataka,0.0002739325760619,5.898313082458417e-05,0.0005580357142857
14-05-2020,5:42 PM,Kerala,0.0105372730925161,0.0290786834965199,0.0022321428571428
05-04-2020,6:00 PM,Madhya Pradesh,0.0030132583366813,0.0,0.0050223214285714
01-05-2020,5:00 PM,Ladakh,0.0004017677782241,0.0009437300931933,0.0
24-05-2020,10:07 AM,Rajasthan,0.1296614193359874,0.2274389524595965,0.0909598214285714
08-03-2020,6:00 PM,Haryana,3.652434347492604e-05,0.0,0.0
18-04-2020,5:00 PM,Lakshadweep,0.0,0.0,0.0
26-05-2020,11:47 PM,Dadra and Nagar Haveli and Daman and Diu,3.652434347492604e-05,5.898313082458417e-05,0.0
02-05-2020,5:00 PM,Telangana,0.018974396435224,0.0260115606936416,0.0145089285714285
24-04-2020,5:00 PM,Chandigarh,0.0004930786369115,0.0008257638315441,0.0
12-03-2020,6:00 PM,Ladakh,5.4786515212389055e-05,0.0,0.0
19-03-2020,6:00 PM,Andhra Pradesh,3.652434347492604e-05,0.0,0.0
16-05-2020,5:34 PM,Bihar,0.0228459768435662,0.0278990208800283,0.0044642857142857
31-03-2020,8:30 PM,Delhi,0.0017714306585339,0.0003538987849475,0.0011160714285714
20-05-2020,10:21 PM,Rajasthan,0.10984696300084,0.2007785773268845,0.08203125
16-04-2020,5:00 PM,Himachal Pradesh,0.0006391760108112,0.0009437300931933,0.0005580357142857
02-03-2020,6:00 PM,Kerala,5.4786515212389055e-05,0.0,0.0
07-05-2020,8:00 AM,Kerala,0.0091858723839438,0.0276630883567299,0.0022321428571428
10-04-2020,5:00 PM,Manipur,3.652434347492604e-05,5.898313082458417e-05,0.0
08-05-2020,8:00 AM,Mizoram,1.826217173746302e-05,0.0,0.0
20-03-2020,6:00 PM,Chhattisgarh,1.826217173746302e-05,0.0,0.0
12-04-2020,5:00 PM,Sikkim,0.0,0.0,0.0
18-05-2020,7:18 PM,Punjab,0.0361591000401767,0.0912469033856317,0.0206473214285714
21-05-2020,8:19 AM,Chhattisgarh,0.0024106066693451,0.0034800047186504,0.0
23-03-2020,6:00 PM,Jammu and Kashmir,7.304868694985207e-05,0.0,0.0
07-04-2020,6:00 PM,Punjab,0.0016618576281091,0.0002359325232983,0.00390625
21-02-2020,6:00 PM,Kerala,5.4786515212389055e-05,0.0,0.0
04-03-2020,6:00 PM,Kerala,5.4786515212389055e-05,0.0001769493924737,0.0
02-05-2020,5:00 PM,Gujarat,0.0862157127725629,0.0433526011560693,0.1316964285714285
06-04-2020,6:00 PM,Arunachal Pradesh,1.826217173746302e-05,0.0,0.0
23-04-2020,5:00 PM,Maharashtra,0.1032177946601409,0.0465376902205969,0.1501116071428571
12-04-2020,5:00 PM,Uttarakhand,0.0006391760108112,0.0002949156541229,0.0
12-04-2020,5:00 PM,Haryana,0.0033785017714306,0.0017105107939129,0.0016741071428571
20-03-2020,6:00 PM,Uttar Pradesh,0.0004200299499616,0.0005308481774212,0.0
21-05-2020,10:13 PM,Uttar Pradesh,0.1007158771321085,0.1889819511619677,0.0770089285714285
21-04-2020,5:00 PM,Odisha,0.0013514007085722,0.00141559513979,0.0005580357142857
13-05-2020,10:23 PM,Rajasthan,0.0790386792797399,0.151763595611655,0.0675223214285714
01-05-2020,5:00 PM,Bihar,0.0077796851601592,0.0048366167276159,0.0011160714285714
19-05-2020,11:53 PM,Jharkhand,0.0045290185908908,0.0074908576147221,0.0016741071428571
29-04-2020,5:00 PM,Delhi,0.0605208371379524,0.0635838150289017,0.0301339285714285
25-04-2020,5:00 PM,Delhi,0.045911099747982,0.0505485431166686,0.0295758928571428
16-04-2020,5:00 PM,Gujarat,0.0159063515833302,0.0037749203727733,0.0200892857142857
11-05-2020,10:14 PM,Ladakh,0.0007670112129734,0.0012976288781408,0.0
29-04-2020,5:00 PM,Jammu and Kashmir,0.0103181270316666,0.0103810310251268,0.0044642857142857
